Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
chevrolet,spark,2016,Xe đã dùng,119000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,128
mercedes benz,glk,2013,Xe đã dùng,102368.0,,SUV /Crossover,Số tự động,Xăng,3.0,5.0,575
kia,cerato,2019,Xe đã dùng,51000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,485
mazda,cx8,2019,Xe đã dùng,40000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,7.0,798
hyundai,stargazer,2022,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.5,7.0,450
hyundai,starex,2008,Xe đã dùng,123456.0,Nhập khẩu,Van/Minivan,Số tay,Dầu,2.5,6.0,288
mazda,3,2022,Xe đã dùng,11000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.5,5.0,625
toyota,vios,2016,Xe đã dùng,888.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,285
ford,ranger,2021,Xe đã dùng,24000.0,Trong nước,Bán tải / Pickup,Số hỗn hợp,Dầu,2.0,5.0,760
honda,city,2014,Xe đã dùng,110000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,345
mg,dòngkhác,2023,Xe mới,0.0,Nhập khẩu,SUV / Cross over,Số tự động,Xăng,,,699
toyota,innova,2009,Xe đã dùng,171000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,259
toyota,corollaaltis,2006,Xe đã dùng,120000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.8,5.0,155
ford,focus,2019,Xe đã dùng,34000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,550
kia,cerato,2021,Xe đã dùng,14000.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,525
daewoo,magnus,2005,Xe đã dùng,99000.0,,Sedan,Số tự động,Xăng,2.0,5.0,99
mazda,323,1995,Xe đã dùng,108666.0,Nhập khẩu,Sedan,Số tay,Xăng,1.6,5.0,70
hyundai,i10,2022,Xe đã dùng,37000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,385
kia,dòngkhác,2002,Xe đã dùng,238686.0,Nhập khẩu,,Số tay,Xăng,,,56
ford,tourneo,2020,Xe đã dùng,27000.0,Trong nước,Van/Minivan,Số tự động,Xăng,2.0,7.0,890
hyundai,i10,2022,Xe đã dùng,28000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,388
toyota,yaris,2019,Xe đã dùng,23000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.3,5.0,460
toyota,fortuner,2019,Xe đã dùng,76000.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.4,7.0,769
ford,ranger,2002,Xe đã dùng,290000.0,,Bán tải / Pickup,Số tay,Dầu,2.0,5.0,70
toyota,innova,2015,Xe đã dùng,6000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,340
chevrolet,captiva,2016,Xe đã dùng,90000.0,,SUV /Crossover,Số tự động,Xăng,2.4,7.0,410
ford,focus,2008,Xe đã dùng,140000.0,Trong nước,Sedan,Số tay,Xăng,2.0,5.0,130
mazda,3,2019,Xe đã dùng,15000.0,Trong nước,Hatchback,Số tự động,Xăng,1.5,5.0,485
hyundai,accent,2019,Xe đã dùng,52000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,405
toyota,corollaaltis,2012,Xe đã dùng,100.0,,Sedan,Số tự động,Xăng,2.0,5.0,345
toyota,innova,2012,Xe đã dùng,120000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,8.0,340
ford,ranger,2017,Xe đã dùng,118000.0,,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,550
toyota,rush,2021,Xe đã dùng,61000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,545
chevrolet,captiva,2007,Xe đã dùng,,Trong nước,SUV /Crossover,Số tay,Xăng,2.4,7.0,159
chevrolet,captiva,2018,Xe đã dùng,54000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,495
vinfast,fadil,2020,Xe đã dùng,34568.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,280
mitsubishi,xpander,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,538
toyota,vios,2019,Xe đã dùng,35000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,428
kia,morning,2017,Xe đã dùng,80000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,245
mercedes benz,cclass,2019,Xe đã dùng,49500.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,1020
honda,city,2020,Xe đã dùng,68.0,,Sedan,Số tự động,Xăng,1.5,5.0,435
mercedes benz,aclass,2003,Xe đã dùng,145000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,150
ford,focus,2013,Xe đã dùng,87000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,330
daewoo,matiz,2003,Xe đã dùng,125000.0,,Hatchback,Số tay,Xăng,0.8,5.0,52
honda,hrv,2020,Xe đã dùng,53000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.8,5.0,635
kia,seltos,2021,Xe đã dùng,60000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.4,5.0,545
hyundai,i10,2022,Xe đã dùng,28000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,388
toyota,innova,2016,Xe đã dùng,50000.0,,SUV /Crossover,Số tự động,Xăng,2.0,8.0,570
ford,transit,2016,Xe đã dùng,152000.0,Trong nước,Van/Minivan,Số tay,Dầu,2.2,16.0,475
toyota,innova,2012,Xe đã dùng,141000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,288
mercedes benz,cclass,2009,Xe đã dùng,90000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,360
mercedes benz,sprinter,2009,Xe đã dùng,999.0,Nhập khẩu,Van/Minivan,Số tay,Dầu,2.2,16.0,185
ford,ranger,2017,Xe đã dùng,900000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,2.0,5.0,395
kia,k3,2022,Xe đã dùng,20000.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,580
ford,tourneo,2021,Xe đã dùng,26000.0,Trong nước,Van/Minivan,Số tự động,Xăng,2.0,7.0,899
suzuki,swift,2013,Xe đã dùng,90000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,295
toyota,yaris,2018,Xe đã dùng,35800.0,,Hatchback,Số tự động,Xăng,1.3,5.0,459
hyundai,i30,2008,Xe đã dùng,110000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.6,5.0,229
mitsubishi,xpander,2019,Xe đã dùng,10000.0,,SUV /Crossover,Số tự động,Xăng,1.5,7.0,505
mazda,cx5,2019,Xe đã dùng,70000.0,,SUV /Crossover,Số tự động,Xăng,2.5,5.0,665
hyundai,genesis,2011,Xe đã dùng,96000.0,Nhập khẩu,Coupe,Số tự động,Xăng,2.0,4.0,386
lexus,ls,2005,Xe đã dùng,180000.0,Nhập khẩu,Sedan,Số tự động,Xăng,4.6,5.0,485
mazda,6,2015,Xe đã dùng,80000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,400
mg,5,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tay,Xăng,1.5,5.0,399
toyota,wigo,2018,Xe đã dùng,20000.0,Nhập khẩu,Hatchback,Số tay,Xăng,1.2,5.0,210
mercedes benz,cclass,2015,Xe đã dùng,130000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,590
toyota,zace,2003,Xe đã dùng,150000.0,Trong nước,SUV /Crossover,Số tay,Xăng,1.8,8.0,138
hyundai,santafe,2009,Xe đã dùng,110000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,425
hyundai,accent,2021,Xe đã dùng,22000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,466
mg,hs,2022,Xe đã dùng,53000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,530
toyota,fortuner,2015,Xe đã dùng,140000.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.4,7.0,540
mitsubishi,xpandercross,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,698
mitsubishi,pajerosport,2023,Xe mới,0.0,Nhập khẩu,SUV / Cross over,Số tự động,Dầu,,,1130
mitsubishi,xpander,2023,Xe đã dùng,,Nhập khẩu,SUV /Crossover,Số tay,Xăng,1.5,7.0,555
honda,city,2021,Xe đã dùng,19000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,489
vinfast,vfe34,2023,Xe đã dùng,8000.0,Trong nước,,Số tự động,Điện,,,530
kia,carens,2023,Xe đã dùng,34000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,7.0,625
hyundai,stargazer,2022,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.5,7.0,485
toyota,prado,2012,Xe đã dùng,68.0,Nhập khẩu,SUV /Crossover,Số tự động,Động cơ Hybrid,2.7,7.0,830
ford,ranger,2018,Xe đã dùng,12345.0,Nhập khẩu,Bán tải / Pickup,Số tay,Xăng,2.0,5.0,435
kia,morning,2011,Xe đã dùng,80000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,215
isuzu,dmax,2016,Xe đã dùng,123800.0,Trong nước,Bán tải / Pickup,Số tay,Dầu,2.5,5.0,290
honda,civic,2019,Xe đã dùng,50000.0,,Sedan,Số tự động,Xăng,1.8,5.0,550
ford,everest,2018,Xe đã dùng,24000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.5,7.0,913
mercedes benz,glc,2023,Xe đã dùng,1.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2299
toyota,innova,2008,Xe đã dùng,138000.0,Nhập khẩu,SUV /Crossover,Số tay,Xăng,2.0,8.0,239
ford,ranger,2017,Xe đã dùng,,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,2.0,5.0,368
toyota,fortuner,2021,Xe đã dùng,5000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.4,7.0,998
hyundai,i10,2020,Xe đã dùng,16000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,345
mitsubishi,outlander,2022,Xe đã dùng,30000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,786
toyota,landcruiser,2015,Xe đã dùng,100000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,4.6,7.0,2069
toyota,zace,2002,Xe đã dùng,100.0,Trong nước,SUV /Crossover,Số tay,Xăng,1.8,8.0,120
hyundai,accent,2021,Xe đã dùng,22000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,466
ford,ecosport,2020,Xe đã dùng,34000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,468
mazda,cx5,2016,Xe đã dùng,500000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,530
mitsubishi,xpander,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tay,Xăng,1.5,7.0,117
toyota,innova,2009,Xe đã dùng,100000.0,,SUV /Crossover,Số tay,Xăng,2.0,8.0,230
kia,sedona,2020,Xe đã dùng,20000.0,Trong nước,Van/Minivan,Số tự động,Xăng,2.2,7.0,919
toyota,vios,2017,Xe đã dùng,90000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,310
toyota,zace,2003,Xe đã dùng,170000.0,Nhập khẩu,SUV /Crossover,Số tay,Xăng,1.8,8.0,89
kia,morning,2007,Xe đã dùng,1.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,130
mazda,6,2018,Xe đã dùng,90000.0,Trong nước,Sedan,Số tự động,Xăng,2.5,5.0,575
hyundai,i10,2022,Xe đã dùng,4.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.2,5.0,388
mazda,3,2022,Xe mới,0.0,Trong nước,Hatchback,Số tự động,Xăng,1.5,5.0,639
mitsubishi,pajerosport,2022,Xe mới,0.0,Nhập khẩu,SUV / Cross over,Số tự động,Xăng,,,1100
mercedes benz,cclass,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,2099
kia,morning,2018,Xe đã dùng,73000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,239
hyundai,stargazer,2022,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.5,7.0,45
toyota,vios,2005,Xe đã dùng,19.0,Nhập khẩu,Sedan,Số tay,Xăng,1.5,5.0,120
toyota,camry,2019,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.5,5.0,740
mitsubishi,xpander,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tay,Xăng,1.5,7.0,117
ford,everest,2023,Xe đã dùng,20000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.5,7.0,1260
mazda,3,2022,Xe đã dùng,18000.0,Trong nước,Hatchback,Số tự động,Xăng,1.5,5.0,610
toyota,vios,2022,Xe đã dùng,27000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,515
toyota,innova,2007,Xe đã dùng,156.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,198
suzuki,grandvitara,2014,Xe đã dùng,90000.0,Nhập khẩu,,Số tự động,Xăng,,,5
honda,city,2018,Xe đã dùng,6688.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,390
hyundai,elantra,2020,Xe đã dùng,36000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.6,5.0,412
ford,escape,2011,Xe đã dùng,48000.0,,SUV /Crossover,Số tự động,Xăng,2.3,5.0,295
toyota,corollaaltis,2021,Xe đã dùng,19000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,635
mazda,6,2016,Xe đã dùng,69000.0,,Sedan,Số tự động,Xăng,2.0,5.0,445
toyota,vios,2020,Xe đã dùng,19000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,475
kia,morning,2014,Xe đã dùng,120000.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,142
hyundai,getz,2009,Xe đã dùng,6000.0,Nhập khẩu,Hatchback,Số tay,Xăng,1.4,5.0,125
chevrolet,cruze,2013,Xe đã dùng,63000.0,,Sedan,Số tay,Xăng,1.8,5.0,235
peugeot,5008,2019,Xe đã dùng,37000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,7.0,795
mercedes benz,glk,2009,Xe đã dùng,130000.0,,SUV /Crossover,Số tự động,Xăng,3.0,5.0,350
mitsubishi,pajerosport,2015,Xe đã dùng,89000.0,Nhập khẩu,,Số tự động,Xăng,,,399
kia,morning,2018,Xe đã dùng,42686.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,275
ford,everest,2019,Xe đã dùng,90000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.5,7.0,790
chevrolet,trailblazer,2018,Xe đã dùng,61000.0,,SUV /Crossover,Số tay,Dầu,2.5,7.0,439
toyota,corollaaltis,2019,Xe đã dùng,40000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,558
audi,q7,2010,Xe đã dùng,85000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.6,7.0,590
mercedes benz,cclass,2023,Xe đã dùng,,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,1599
kia,morning,2018,Xe đã dùng,,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,239
mazda,cx5,2017,Xe đã dùng,100000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,535
toyota,corollacross,2021,Xe đã dùng,38000.0,Nhập khẩu,SUV /Crossover,Số tay,Động cơ Hybrid,1.8,5.0,790
mazda,6,2017,Xe đã dùng,68000.0,,Sedan,Số tự động,Xăng,2.0,5.0,529
hyundai,i10,2015,Xe đã dùng,110000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.2,5.0,155
vinfast,fadil,2022,Xe đã dùng,500.0,,Hatchback,Số tự động,Xăng,1.4,5.0,345
ford,everest,2022,Xe đã dùng,33000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.5,7.0,1360
mitsubishi,attrage,2022,Xe đã dùng,34000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.2,5.0,328
chevrolet,trailblazer,2018,Xe đã dùng,55000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.5,7.0,555
hyundai,i10,2023,Xe mới,0.0,Trong nước,Sedan,Số tay,Xăng,1.2,5.0,73
toyota,yaris,2018,Xe đã dùng,26000.0,,Hatchback,Số tự động,Xăng,1.3,5.0,485
kia,morning,2009,Xe đã dùng,780000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,185
kia,sedona,2020,Xe đã dùng,60000.0,,Van/Minivan,Số tự động,Dầu,2.2,7.0,949
chevrolet,spark,2010,Xe đã dùng,20000.0,Nhập khẩu,Hatchback,Số tay,Xăng,0.8,5.0,69
ford,ranger,2015,Xe đã dùng,120000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,365
vinfast,1083,2019,Xe đã dùng,5000.0,Trong nước,,Số tự động,Xăng,2.0,,630
kia,k3,2022,Xe đã dùng,20000.0,Trong nước,Sedan,Số tay,Xăng,1.6,5.0,465
toyota,landcruiserprado,2016,Xe đã dùng,90000.0,Nhập khẩu,,Số tự động,Xăng,2.7,,1380
mitsubishi,xpander,2021,Xe đã dùng,11686.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,525
mazda,3,2021,Xe đã dùng,350004.0,,Hatchback,Số tự động,Xăng,1.5,5.0,569
kia,morning,2012,Xe đã dùng,123456.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,95
kia,k5,2022,Xe đã dùng,84000.0,,Sedan,Số tự động,Xăng,2.0,5.0,769
mg,5,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tay,Xăng,1.5,5.0,79
bmw,3,2008,Xe đã dùng,90000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,275
mercedes benz,glc,2023,Xe đã dùng,1.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2799
ford,focus,2018,Xe đã dùng,49000.0,,Sedan,Số tự động,Xăng,1.5,5.0,438
toyota,velozcross,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,7.0,130
ford,transit,2017,Xe đã dùng,160000.0,Trong nước,Van/Minivan,Số tay,Dầu,2.2,16.0,539
suzuki,celerio,2019,Xe đã dùng,45000.0,,Hatchback,Số tự động,Xăng,1.0,5.0,275
ford,focus,2011,Xe đã dùng,100000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,217
mazda,3,2021,Xe đã dùng,31000.0,,Hatchback,Số tự động,Xăng,1.5,5.0,550
toyota,camry,1995,Xe đã dùng,271000.0,Nhập khẩu,Sedan,Số tay,Xăng,2.5,5.0,89
nissan,xtrail,2018,Xe đã dùng,60000.0,Trong nước,,Số tự động,Xăng,,,585
hyundai,kona,2019,Xe đã dùng,36000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.6,5.0,500
toyota,corollaaltis,2018,Xe đã dùng,80000.0,,Sedan,Số tự động,Xăng,1.8,5.0,398
hyundai,accent,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,85
mg,5,2022,Xe đã dùng,28000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,425
toyota,fortuner,2010,Xe đã dùng,120000.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.4,7.0,430
suzuki,xl7,2022,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,639
renault,sandero,2016,Xe đã dùng,80000.0,Nhập khẩu,,Số tự động,Xăng,,,285
vinfast,luxa2.0,2019,Xe đã dùng,56000.0,Trong nước,,Số tự động,Xăng,,,570
chevrolet,cruze,2013,Xe đã dùng,63000.0,,Sedan,Số tay,Xăng,1.8,5.0,225
vinfast,fadil,2021,Xe đã dùng,9000.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,318
chevrolet,aveo,2017,Xe đã dùng,60000.0,,Sedan,Số tự động,Xăng,1.5,5.0,255
vinfast,1083,2021,Xe đã dùng,38000.0,Trong nước,,Số tự động,Xăng,2.0,,605
kia,morning,2018,Xe đã dùng,67890.0,,Hatchback,Số tay,Xăng,1.2,5.0,191
chevrolet,captiva,2018,Xe đã dùng,54000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,495
kia,morning,2019,Xe đã dùng,40000.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,285
ford,focus,2018,Xe đã dùng,60000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,410
honda,civic,2015,Xe đã dùng,70000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,420
mitsubishi,attrage,2020,Xe đã dùng,56000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.2,5.0,365
kia,k3,2022,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,118
toyota,innova,2006,Xe đã dùng,,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,198
ford,transit,2016,Xe đã dùng,180000.0,Nhập khẩu,Van/Minivan,Số tay,Dầu,2.2,16.0,506
kia,morning,2019,Xe đã dùng,45678.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,201
toyota,camry,2015,Xe đã dùng,80000.0,Trong nước,Sedan,Số tự động,Xăng,2.5,5.0,605
mazda,6,2015,Xe đã dùng,60000.0,Trong nước,Sedan,Số tự động,Xăng,2.5,5.0,455
hyundai,avante,2013,Xe đã dùng,110000.0,,Sedan,Số tự động,Xăng,1.6,5.0,269
toyota,vios,2015,Xe đã dùng,75000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,250
hyundai,stargazer,2022,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.5,7.0,75
hyundai,creta,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,646
lexus,rx,2004,Xe đã dùng,100000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,7.0,305
nissan,sunny,2014,Xe đã dùng,100000.0,,Sedan,Số tay,Xăng,1.5,5.0,180
toyota,fortuner,2007,Xe đã dùng,999999.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.4,7.0,425
mazda,cx5,2018,Xe đã dùng,76888.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,595
daewoo,lacetti,2010,Xe đã dùng,165555.0,Trong nước,Sedan,Số tay,Xăng,1.6,5.0,175
hyundai,santafe,2011,Xe đã dùng,99999.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.2,7.0,465
hyundai,i10,2017,Xe đã dùng,86000.0,Nhập khẩu,Sedan,Số tay,Xăng,1.2,5.0,248
ford,contour,1996,Xe đã dùng,12345.0,Nhập khẩu,,Số tay,Xăng,,,45
ford,ecosport,2020,Xe đã dùng,45000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,455
bmw,z4,2020,Xe đã dùng,9000.0,Nhập khẩu,Convertible,Số tự động,Xăng,2.0,2.0,2350
nissan,almera,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.0,5.0,449
vinfast,1083,2020,Xe đã dùng,50000.0,Trong nước,,Số tự động,Xăng,2.0,,800
hyundai,verna,2008,Xe đã dùng,150000.0,Nhập khẩu,Sedan,Số tay,Dầu,1.5,5.0,169
ford,ranger,2015,Xe đã dùng,45000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,2.2,5.0,350
mazda,5,2023,Xe mới,0.0,Trong nước,SUV / Cross over,Số tự động,Xăng,,,749
nissan,almera,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.0,5.0,500
toyota,aygo,2011,Xe đã dùng,85000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.0,5.0,210
kia,morning,2011,Xe đã dùng,86000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,173
kia,k3,2022,Xe đã dùng,34000.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,589
ford,ranger,2018,Xe đã dùng,48000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xăng,2.0,5.0,835
honda,crv,2010,Xe đã dùng,136580.0,,SUV /Crossover,Số tự động,Xăng,2.4,5.0,333
toyota,vios,2020,Xe đã dùng,50000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,468
vinfast,luxsa2.0,2021,Xe đã dùng,70000.0,Trong nước,,Số tự động,Xăng,,,800
honda,crv,2019,Xe đã dùng,70000.0,,SUV /Crossover,Số tự động,Xăng,2.4,5.0,778
daewoo,lacetti,2004,Xe đã dùng,60000.0,,Sedan,Số tay,Xăng,1.8,5.0,125
nissan,sunny,2020,Xe đã dùng,55000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,375
vinfast,1083,2019,Xe đã dùng,18000.0,Trong nước,,Số tự động,Xăng,2.0,,760
toyota,innova,2010,Xe đã dùng,99000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,8.0,280
lexus,nx,2019,Xe đã dùng,45000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1790
mazda,cx5,2020,Xe đã dùng,60000.0,,SUV /Crossover,Số tự động,Xăng,2.0,5.0,670
toyota,innova,2015,Xe đã dùng,,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,318
toyota,wigo,2023,Xe mới,0.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,390
vinfast,vf9,2023,Xe đã dùng,8600.0,Trong nước,SUV /Crossover,Số tự động,Xăng,0.0,6.0,1238
toyota,fortuner,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.4,7.0,990
ford,everest,2019,Xe đã dùng,63000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.5,7.0,825
kia,sportage,2009,Xe đã dùng,190000.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,1.6,5.0,295
mercedes benz,glk,2014,Xe đã dùng,14000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,630
kia,rondo,2020,Xe đã dùng,40000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,515
scion,xd,2010,Xe đã dùng,60000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.8,5.0,485
mazda,cx8,2020,Xe đã dùng,18000.0,,SUV /Crossover,Số tự động,Xăng,2.5,7.0,850
kia,sedona,2020,Xe đã dùng,98000.0,Nhập khẩu,Van/Minivan,Số tự động,Dầu,2.2,7.0,925
vinfast,luxa2.0,2019,Xe đã dùng,56000.0,Trong nước,,Số tự động,Xăng,2.0,,570
kia,sedona,2018,Xe đã dùng,135000.0,Trong nước,Van/Minivan,Số tự động,Dầu,2.2,7.0,758
suzuki,swift,2016,Xe đã dùng,36000.0,,Hatchback,Số tự động,Xăng,1.2,5.0,355
hãng khác,dòngkhác,1999,Xe đã dùng,14523.0,Nhập khẩu,,Số tự động,Xăng,,,85
