Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
ford,territory,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,909
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,979
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,707
toyota,vios,2022,Xe đã dùng,10972.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,518
mercedes benz,cclass,2019,Xe đã dùng,27000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1199
toyota,vios,2018,Xe đã dùng,50000.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,355
toyota,4runner,2011,Xe đã dùng,70000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,4.0,7.0,1190
honda,crv,2019,Xe đã dùng,52000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,800
toyota,vios,2022,Xe đã dùng,28000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,515
mercedes benz,glc,2022,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2179
mg,zs,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,5.0,475
mercedes benz,glk,2010,Xe đã dùng,150000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,3.0,5.0,355
mg,5,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,495
toyota,fortuner,2011,Xe đã dùng,150000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.7,7.0,365
bentley,mulsanne,2013,Xe đã dùng,59000.0,Nhập khẩu,Sedan,Số tự động,Xăng,6.8,5.0,8900
toyota,sequoia,2008,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,5.7,7.0,1389
hyundai,kona,2021,Xe đã dùng,21000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,560
mazda,cx5,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,829
toyota,prado,2016,Xe đã dùng,80000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,1380
vinfast,luxsa,2021,Xe đã dùng,23000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,920
mitsubishi,triton,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,650
toyota,velozcross,2022,Xe đã dùng,30000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,595
mercedes benz,eclass,2020,Xe đã dùng,10000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1739
toyota,yaris,2007,Xe đã dùng,0.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.3,5.0,255
toyota,camry,2022,Xe đã dùng,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,1090
