Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,2099
Hyundai,2018,Xe đã dùng,8,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,350
Kia,2022,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,720
Mercedes Benz,2022,Xe đã dùng,17,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2250
Nissan,2019,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,690
Toyota,2010,Xe đã dùng,120000,Lắp ráp trong nước,SUV,Số tay,Dầu,7,430
LandRover,2014,Xe đã dùng,59668,Nhập khẩu,SUV,Số tự động,Xăng,5,1990
Toyota,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Hybrid,5,1420
VinFast,2021,Xe đã dùng,59000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,575
Mercedes Benz,2013,Xe đã dùng,1000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,390
Hyundai,2019,Xe đã dùng,30000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,338
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,10,1499
Kia,2016,Xe đã dùng,6,Lắp ráp trong nước,Hatchback,Số tay,Xăng,5,218
Kia,2022,Xe đã dùng,11000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,615
Mercedes Benz,2020,Xe đã dùng,13000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,3188
Peugeot,2022,Xe đã dùng,13000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,729
Lexus,2014,Xe đã dùng,62000,Nhập khẩu,SUV,Số tự động,Xăng,5,1480
BMW,2019,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,879
Kia,2022,Xe đã dùng,16000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,575
Honda,2014,Xe đã dùng,86000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,315
Mercedes Benz,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1139
Hyundai,2012,Xe đã dùng,90000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,295
Haval,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,5,852
BMW,2019,Xe đã dùng,20000,Nhập khẩu,SUV,Số tự động,Xăng,5,1639
Ford,2012,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,295
Kia,2017,Xe đã dùng,78978,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,520
Hyundai,2019,Xe đã dùng,36000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,695
Chevrolet,2009,Xe đã dùng,123456,Lắp ráp trong nước,SUV,Số tay,Xăng,7,205
Hyundai,2019,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,550
Mazda,2019,Xe đã dùng,32000,Nhập khẩu,Sedan,Số tự động,Xăng,5,420
Nissan,2019,Xe đã dùng,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,479
Kia,2017,Xe đã dùng,55000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,618
Mercedes Benz,2019,Xe đã dùng,60000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1489
Mitsubishi,2020,Xe đã dùng,56000,Nhập khẩu,Sedan,Số tự động,Xăng,5,365
Kia,2019,Xe đã dùng,48000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,488
Suzuki,2019,Xe đã dùng,52000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,425
Ford,2015,Xe đã dùng,90000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,435
Toyota,2019,Xe đã dùng,47000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,495
Toyota,2018,Xe đã dùng,72000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,399
Daewoo,2010,Xe đã dùng,0,Nhập khẩu,Hatchback,Số tự động,Xăng,5,185
VinFast,2021,Xe đã dùng,13000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,299
Toyota,2018,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Xăng,7,770
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,1182
Toyota,2013,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,309
BMW,2021,Xe đã dùng,9000,Nhập khẩu,Sedan,Số tự động,Xăng,5,2500
LandRover,2014,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,5,2550
Toyota,2023,Xe đã dùng,2800,Nhập khẩu,SUV,Số tự động,Xăng,7,2850
Mazda,2022,Xe đã dùng,10000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,705
Hyundai,2020,Xe đã dùng,35000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,440
Ford,2013,Xe đã dùng,72000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,313
