Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2799
Toyota,2015,Xe đã dùng,100000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,8,410
Kia,2019,Xe đã dùng,5200,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,652
Ford,2023,Xe mới,0,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,16,849
VinFast,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Điện,5,458
Daewoo,2009,Xe đã dùng,120000,Nhập khẩu,Sedan,Số tự động,Xăng,5,195
Toyota,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,1340
Rolls,2022,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,4,63500
Toyota,2014,Xe đã dùng,8,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,528
LandRover,2020,Xe đã dùng,15800,Nhập khẩu,SUV,Số tự động,Xăng,5,7500
Toyota,2021,Xe đã dùng,21000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,689
Mercedes Benz,2022,Xe đã dùng,1500,Nhập khẩu,Sedan,Số tự động,Xăng,5,5299
Mercedes Benz,2018,Xe đã dùng,34000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1180
Toyota,2019,Xe đã dùng,40000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,7,3279
Suzuki,2015,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,5,435
Mazda,2018,Xe đã dùng,56000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,635
Toyota,2019,Xe đã dùng,46000,Nhập khẩu,SUV,Số tự động,Xăng,7,1950
Mercedes Benz,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,5559
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3099
Kia,2021,Xe đã dùng,16000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,375
Toyota,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,1095
Kia,2022,Xe đã dùng,20000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,1345
Toyota,2021,Xe đã dùng,12000,Nhập khẩu,Van/Minivan,Số tự động,Hybrid,7,4150
Mazda,2014,Xe đã dùng,51000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,465
Ford,2020,Xe đã dùng,24000,Nhập khẩu,SUV,Số tự động,Dầu,7,988
Toyota,2013,Xe đã dùng,65000,Nhập khẩu,Sedan,Số tự động,Hybrid,5,1190
Lexus,2008,Xe đã dùng,78000,Nhập khẩu,SUV,Số tự động,Xăng,7,1555
Mercedes Benz,2016,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,780
Subaru,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,969
Kia,2019,Xe đã dùng,36000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Mitsubishi,2018,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,639
Nissan,2019,Xe đã dùng,72000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,465
Chevrolet,2011,Xe đã dùng,130000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,2,109
Ford,2019,Xe đã dùng,75000,Nhập khẩu,SUV,Số tự động,Dầu,7,839
Toyota,2019,Xe đã dùng,42000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,418
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,1125
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1099
Hyundai,2014,Xe đã dùng,67140,Nhập khẩu,Sedan,Số tay,Xăng,5,285
Kia,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,699
Lexus,2016,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Xăng,7,5000
VinFast,2022,Xe đã dùng,26000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,610
Toyota,1993,Xe đã dùng,0,Nhập khẩu,Sedan,Số tay,Xăng,5,125
Ford,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,824
Toyota,2017,Xe đã dùng,200000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,380
Kia,2020,Xe đã dùng,36000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,379
Mercedes Benz,2009,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,365
Toyota,2015,Xe đã dùng,70000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,370
Kia,2009,Xe đã dùng,60000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,208
Kia,2017,Xe đã dùng,60000,Lắp ráp trong nước,Hatchback,Số tay,Xăng,5,235
Lexus,2020,Xe đã dùng,12000,Nhập khẩu,Sedan,Số tự động,Xăng,5,2090
Mercedes Benz,2021,Xe đã dùng,12872,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1460
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1468
Toyota,2023,Xe mới,0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,7,4371
Mazda,2013,Xe đã dùng,100000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,429
Toyota,2003,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,225
Toyota,2018,Xe đã dùng,63000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,430
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,839
BMW,2012,Xe đã dùng,147568,Nhập khẩu,SUV,Số tự động,Xăng,5,575
Toyota,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,658
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,902
Lexus,2015,Xe đã dùng,52386,Nhập khẩu,Sedan,Số tự động,Xăng,5,1100
Porsche,2020,Xe đã dùng,25000,Nhập khẩu,Coupe,Số tự động,Xăng,2,3550
Toyota,2010,Xe đã dùng,63786,Nhập khẩu,Sedan,Số tự động,Xăng,5,596
Toyota,2021,Xe đã dùng,0,Nhập khẩu,Van/Minivan,Số tự động,Hybrid,7,4150
Mitsubishi,2018,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,479
Mercedes Benz,2020,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Xăng,7,3890
Ford,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1380
Toyota,2008,Xe đã dùng,70000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,255
Volkswagen,2022,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1499
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,762
Mercedes Benz,2020,Xe đã dùng,30000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1290
Hyundai,2010,Xe đã dùng,220000,Nhập khẩu,Hatchback,Số tay,Xăng,5,130
Toyota,2012,Xe đã dùng,55000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,7,1350
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1499
Mercedes Benz,2022,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2639
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,406
Toyota,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,487
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2159
VinFast,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Điện,5,458
Kia,2011,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tay,Xăng,5,100
Chevrolet,2008,Xe đã dùng,197887,Lắp ráp trong nước,Crossover,Số tay,Xăng,7,115
Kia,2010,Xe đã dùng,100000,Nhập khẩu,Sedan,Số tự động,Xăng,5,318
Hyundai,2018,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,298
Toyota,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,469
Lexus,2015,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,3180
Kia,2018,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,599
Hyundai,2021,Xe đã dùng,30000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,450
Toyota,2010,Xe đã dùng,123456,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,248
Mitsubishi,2020,Xe đã dùng,46000,Nhập khẩu,SUV,Số tự động,Xăng,7,530
Kia,2014,Xe đã dùng,80000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,2,205
Toyota,2020,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Xăng,8,3980
LandRover,2014,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,5,2780
Suzuki,2017,Xe đã dùng,56000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,345
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,2099
Mazda,2020,Xe đã dùng,29000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,725
Chevrolet,2018,Xe đã dùng,40000,Nhập khẩu,SUV,Số tự động,Dầu,7,629
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2099
Toyota,2007,Xe đã dùng,90000,Lắp ráp trong nước,SUV,Số tay,Xăng,8,660
Kia,2014,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,245
Mitsubishi,2021,Xe đã dùng,37000,Nhập khẩu,SUV,Số tay,Xăng,7,476
Mercedes Benz,2017,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,778
Mazda,2021,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng,5,425
Kia,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,549
Lexus,2010,Xe đã dùng,78000,Nhập khẩu,SUV,Số tự động,Xăng,5,865
MG,2023,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng,5,475
VinFast,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Điện,5,675
Daewoo,2004,Xe đã dùng,181000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,95
Hyundai,2020,Xe đã dùng,39000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,440
Kia,2014,Xe đã dùng,50000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,2,210
Maserati,2018,Xe đã dùng,14000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3990
Lexus,2009,Xe đã dùng,144000,Nhập khẩu,Sedan,Số tự động,Xăng,5,600
Maserati,2018,Xe đã dùng,11000,Nhập khẩu,Sedan,Số tự động,Xăng,5,3168
MG,2023,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng,5,475
Mazda,2018,Xe đã dùng,44000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,465
Hyundai,2022,Xe đã dùng,4300,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,409
Lexus,2023,Xe đã dùng,3200,Nhập khẩu,SUV,Số tự động,Xăng,5,3599
Kia,2022,Xe đã dùng,20000,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng,7,1520
Toyota,2017,Xe đã dùng,68000,Nhập khẩu,SUV,Số tự động,Xăng,7,745
BMW,2009,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,699
Mercedes Benz,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,4,8679
Hyundai,2017,Xe đã dùng,70000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,595
Isuzu,2023,Xe mới,0,Lắp ráp trong nước,Truck,Số tay,Dầu,3,890
Chevrolet,2009,Xe đã dùng,120000,Lắp ráp trong nước,Crossover,Số tay,Xăng,7,135
Mercedes Benz,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,5145
Honda,2021,Xe đã dùng,18239,Nhập khẩu,Hatchback,Số tự động,Xăng,5,389
Peugeot,2022,Xe đã dùng,16200,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,868
Toyota,2006,Xe đã dùng,150000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,215
LandRover,2014,Xe đã dùng,64000,Nhập khẩu,SUV,Số tự động,Xăng,5,3850
Isuzu,2022,Xe mới,0,Nhập khẩu,SUV,Số tự động,Dầu,7,1135
Ford,2019,Xe đã dùng,90000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,630
Mercedes Benz,2022,Xe đã dùng,30,Nhập khẩu,SUV,Số tự động,Xăng,7,2599
Ford,2005,Xe đã dùng,0,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,6,178
Mercedes Benz,2020,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2638
Mercedes Benz,2018,Xe đã dùng,46000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,899
Toyota,2022,Xe đã dùng,22000,Nhập khẩu,SUV,Số tự động,Xăng,5,795
Rolls,2011,Xe đã dùng,30000,Nhập khẩu,Sedan,Số tự động,Xăng,4,6900
LandRover,2022,Xe đã dùng,10000,Nhập khẩu,SUV,Số tự động,Xăng,7,3990
Toyota,2017,Xe đã dùng,85000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,455
Mercedes Benz,2021,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1589
Mazda,2018,Xe đã dùng,52000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,655
Toyota,2007,Xe đã dùng,150000,Lắp ráp trong nước,SUV,Số tay,Xăng,8,599
Chevrolet,2018,Xe đã dùng,71000,Nhập khẩu,SUV,Số tay,Dầu,7,495
Toyota,2022,Xe đã dùng,25000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1060
Toyota,2013,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,539
Toyota,2020,Xe đã dùng,28000,Nhập khẩu,SUV,Số tự động,Hybrid,5,830
Haval,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Hybrid,5,852
Toyota,2020,Xe đã dùng,33000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,460
Ford,2015,Xe đã dùng,11000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,408
Kia,2022,Xe đã dùng,26000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,429
Isuzu,2005,Xe đã dùng,200000,Lắp ráp trong nước,SUV,Số tay,Dầu,8,160
Honda,2020,Xe đã dùng,20000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,395
Toyota,1999,Xe đã dùng,0,Nhập khẩu,SUV,Số tay,Xăng,8,82
Toyota,1994,Xe đã dùng,30000,Nhập khẩu,Sedan,Số tay,Xăng,5,55
Toyota,2005,Xe đã dùng,150000,Lắp ráp trong nước,SUV,Số tay,Xăng,8,495
Ford,2021,Xe đã dùng,25000,Nhập khẩu,SUV,Số tự động,Dầu,7,1068
Ford,2017,Xe đã dùng,79116,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,578
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,580
Toyota,2020,Xe đã dùng,51400,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,590
Hyundai,2009,Xe đã dùng,65000,Nhập khẩu,Coupe,Số tự động,Xăng,4,355
VinFast,2020,Xe đã dùng,40000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,298
Toyota,1989,Xe đã dùng,10000,Nhập khẩu,Sedan,Số tay,Xăng,5,99
Ford,2015,Xe đã dùng,75000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,405
Hyundai,2022,Xe đã dùng,15000,Nhập khẩu,Crossover,Số tự động,Xăng,5,665
Toyota,2008,Xe đã dùng,120000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,245
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,780
Kia,2006,Xe đã dùng,140000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,125
Ford,2010,Xe đã dùng,12000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,270
Mitsubishi,2014,Xe đã dùng,90000,Nhập khẩu,SUV,Số tự động,Xăng,5,395
Lexus,2016,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,7,3250
Toyota,1997,Xe đã dùng,250000,Nhập khẩu,Sedan,Số tay,Xăng,5,77
Kia,2019,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,698
Toyota,2021,Xe đã dùng,26000,Nhập khẩu,SUV,Số tự động,Xăng,5,770
Porsche,2019,Xe đã dùng,32000,Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng,2,3550
BMW,2018,Xe đã dùng,30000,Nhập khẩu,Sedan,Số tự động,Xăng,5,2480
Mitsubishi,2021,Xe đã dùng,33000,Nhập khẩu,SUV,Số tự động,Xăng,7,538
Ford,2011,Xe đã dùng,93000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,259
Toyota,2007,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tay,Xăng,8,650
Hyundai,2020,Xe đã dùng,60000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,340
Honda,2019,Xe đã dùng,20000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,390
Toyota,2009,Xe đã dùng,70000,Nhập khẩu,Sedan,Số tự động,Xăng,5,460
Hyundai,2021,Xe đã dùng,26000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,559
Ford,2019,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,470
Toyota,2020,Xe đã dùng,30000,Nhập khẩu,Sedan,Số tự động,Xăng,5,960
Toyota,2006,Xe đã dùng,1734,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,210
Mazda,2018,Xe đã dùng,70000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,495
Skoda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1409
Mercedes Benz,2021,Xe đã dùng,35000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1230
Volkswagen,2022,Xe đã dùng,1978,Nhập khẩu,SUV,Số tự động,Xăng,7,2150
Kia,2014,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tay,Xăng,5,148
Mazda,2019,Xe đã dùng,69000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,465
Mitsubishi,2018,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,565
Toyota,2018,Xe đã dùng,60000,Nhập khẩu,SUV,Số tự động,Xăng,7,1840
McLaren,2017,Xe đã dùng,18000,Nhập khẩu,Coupe,Số tự động,Xăng,2,8000
Toyota,2007,Xe đã dùng,105000,Nhập khẩu,Van/Minivan,Số tự động,Xăng,7,380
Toyota,2019,Xe đã dùng,100000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,555
Honda,2018,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,509
Kia,2019,Xe đã dùng,60000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,888
Audi,2013,Xe đã dùng,80000,Nhập khẩu,SUV,Số tự động,Xăng,5,580
Toyota,2020,Xe đã dùng,41000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,510
Kia,2021,Xe đã dùng,8752,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,385
Ford,2018,Xe đã dùng,146000,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,16,559
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1499
Toyota,2015,Xe đã dùng,69000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,399
Honda,2017,Xe đã dùng,90000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,340
Daewoo,2011,Xe đã dùng,350000,Lắp ráp trong nước,Van/Minivan,Số tay,Dầu,34,375
VinFast,2021,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,320
Chevrolet,2018,Xe đã dùng,88000,Nhập khẩu,SUV,Số tự động,Dầu,7,579
Kia,2019,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,489
Toyota,2021,Xe đã dùng,20000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,639
Toyota,2010,Xe đã dùng,90000,Nhập khẩu,SUV,Số tự động,Xăng,7,790
VinFast,2019,Xe đã dùng,39000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,605
Mercedes Benz,2021,Xe đã dùng,31000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1199
LandRover,2010,Xe đã dùng,67890,Nhập khẩu,SUV,Số tự động,Xăng,5,950
Ford,2023,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,635
Porsche,2014,Xe đã dùng,52000,Nhập khẩu,Sedan,Số tự động,Xăng,4,1790
Peugeot,2022,Xe đã dùng,4000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,939
Lexus,2019,Xe đã dùng,39792,Nhập khẩu,Sedan,Số tự động,Xăng,5,1880
MG,2022,Xe đã dùng,11500,Nhập khẩu,Sedan,Số tự động,Xăng,5,448
Toyota,2012,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,296
Toyota,2010,Xe đã dùng,130000,Nhập khẩu,SUV,Số tự động,Xăng,7,690
Hyundai,2019,Xe đã dùng,48000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,695
Toyota,2009,Xe đã dùng,68689,Nhập khẩu,Crossover,Số tự động,Xăng,5,495
Toyota,2018,Xe đã dùng,119000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,500
Kia,2022,Xe đã dùng,20000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,670
Hyundai,2020,Xe đã dùng,26000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,436
Mazda,2018,Xe đã dùng,14000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,475
Peugeot,2022,Xe đã dùng,16000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,715
Hyundai,2020,Xe đã dùng,36000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,715
Lexus,2019,Xe đã dùng,50000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1950
Mazda,2023,Xe mới,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,619
VinFast,2022,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Điện,7,1491
Audi,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Điện,5,2845
Honda,2021,Xe đã dùng,38000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,499
Subaru,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,749
Toyota,2003,Xe đã dùng,100000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,120
MG,2023,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng,5,485
BMW,2014,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Xăng,7,1188
Honda,2020,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,445
Mazda,2015,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,460
Bentley,2021,Xe đã dùng,5000,Nhập khẩu,Sedan,Số tự động,Xăng,5,15999
Hyundai,2019,Xe đã dùng,45000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,350
Kia,2019,Xe đã dùng,95000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,799
Lexus,2008,Xe đã dùng,110000,Nhập khẩu,SUV,Số tự động,Xăng,7,855
Chevrolet,2009,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,229
Toyota,2022,Xe đã dùng,10200,Nhập khẩu,SUV,Số tự động,Xăng,7,1050
Mercedes Benz,2018,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,830
Mitsubishi,2022,Xe đã dùng,0,Nhập khẩu,Sedan,Số tay,Xăng,5,328
MG,2023,Xe mới,0,Nhập khẩu,Sedan,Số tự động,Xăng,5,495
Toyota,2011,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,395
Kia,2012,Xe đã dùng,130000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,305
Hyundai,2021,Xe đã dùng,10000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,1090
Audi,2020,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng,5,8498
Kia,2022,Xe đã dùng,25000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,615
Mercedes Benz,2021,Xe đã dùng,10000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1450
Toyota,2009,Xe đã dùng,68689,Nhập khẩu,Crossover,Số tự động,Xăng,5,495
VinFast,2021,Xe đã dùng,13000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,299
Volvo,2021,Xe đã dùng,34000,Nhập khẩu,Sedan,Số tự động,Xăng,5,1578
Kia,2020,Xe đã dùng,30000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu,7,969
Chevrolet,2018,Xe đã dùng,50000,Nhập khẩu,SUV,Số tự động,Dầu,7,585
Toyota,2021,Xe đã dùng,39000,Nhập khẩu,Hatchback,Số tự động,Xăng,5,595
Toyota,2018,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Xăng,7,750
Lexus,2016,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng,7,4999
Mazda,2017,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,525
Mercedes Benz,2019,Xe đã dùng,40000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1199
Kia,2021,Xe đã dùng,28000,Lắp ráp trong nước,SUV,Số tự động,Dầu,6,959
Hyundai,2022,Xe đã dùng,42000,Nhập khẩu,Crossover,Số tự động,Xăng,5,656
Toyota,2022,Xe đã dùng,1000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,519
Mitsubishi,2021,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,705
Kia,2011,Xe đã dùng,0,Nhập khẩu,Hatchback,Số tự động,Xăng,5,235
Toyota,2020,Xe đã dùng,38000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,469
LandRover,2012,Xe đã dùng,104000,Nhập khẩu,SUV,Số tự động,Xăng,5,719
Hyundai,2019,Xe đã dùng,56000,Lắp ráp trong nước,Crossover,Số tự động,Dầu,5,695
Toyota,1998,Xe đã dùng,250000,Lắp ráp trong nước,Sedan,Số tay,Xăng,5,115
Mazda,2018,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu,5,425
Toyota,2013,Xe đã dùng,84428,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,460
Hyundai,2008,Xe đã dùng,213000,Nhập khẩu,SUV,Số tự động,Dầu,7,385
