Tên xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Dẫn động,Số chỗ ngồi,Giá xe
Xe Ford Escape 2.3 AT,2007,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.3 L,Ghi,Đen,4WD - Dẫn động 4 bánh,5 chỗ,146 Triệu
Xe Peugeot 3008 Allure 1.6 AT,2020,Xe đã dùng,0 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,711 Triệu
Xe Ford Everest 2.5L 4x2 MT,2009,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Đen,Kem,RFD - Dẫn động cầu sau,7 chỗ,265 Triệu
Xe Toyota Hilux 2.4E 4x2 MT,2019,Xe đã dùng,"80,000 Km",Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,507 Triệu
Xe Hyundai Kona 1.6 Turbo,2019,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,515 Triệu
Xe Honda Accord 2.4 AT,2011,Xe đã dùng,"130,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.4 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,355 Triệu
Xe Hyundai SantaFe 2.2L 4WD,2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Trắng,Đen,4WD - Dẫn động 4 bánh,7 chỗ,660 Triệu
Xe Hyundai Tucson 1.6 AT Turbo,2019,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,695 Triệu
Xe Mercedes Benz C class C200 Avantgarde Plus,2022,Xe đã dùng,500 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 559 Triệu
Xe Hyundai Tucson 2.0 AT Tiêu chuẩn,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,744 Triệu
Xe Kia Cerato 2.0 AT Premium,2019,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,499 Triệu
Xe Toyota Innova 2.0E,2018,Xe đã dùng,"169,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,Đen,RFD - Dẫn động cầu sau,8 chỗ,520 Triệu
Xe Honda City RS 1.5 AT,2022,Xe đã dùng,"11,500 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,525 Triệu
Xe Mitsubishi Grandis 2.4 AT,2008,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.4 L,Đen,Kem,FWD - Dẫn động cầu trước,7 chỗ,260 Triệu
Xe Mazda 3 1.5L Luxury,2019,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,490 Triệu
Xe Kia Sorento DATH,2017,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Nâu,Kem,FWD - Dẫn động cầu trước,7 chỗ,620 Triệu
Xe Mercedes Benz GLC 300 4Matic,2017,Xe đã dùng,"80,450 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 45 Triệu
Xe Mini Cooper 3 Door JCW,2022,Xe đã dùng,"6,868 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  2.0 L,Xanh,Đen,FWD - Dẫn động cầu trước,4 chỗ,2 Tỷ 380 Triệu
Xe Toyota Alphard 3.5 V6,2010,Xe đã dùng,"92,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,Trắng,Kem,FWD - Dẫn động cầu trước,7 chỗ,1 Tỷ 150 Triệu
Xe Audi Q5 2.0 AT,2017,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 245 Triệu
Xe Mercedes Benz Maybach S450 4Matic,2019,Xe đã dùng,"60,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Nâu,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,4 Tỷ 699 Triệu
Xe Lexus GS 350 AWD,2009,Xe đã dùng,"68,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.5 L,Đen,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,680 Triệu
Xe Mercedes Benz E class E180,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 159 Triệu
Xe Toyota Vios G 1.5 CVT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,592 Triệu
Xe Audi A8 L V8 4.0L TFSI,2014,Xe đã dùng,"53,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  4.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 900 Triệu
Xe Mercedes Benz V class V220d CDI,2015,Xe đã dùng,"60,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Dầu  2.1 L,Đen,Ghi,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 100 Triệu
Xe Mitsubishi Xpander 1.5 MT,2019,Xe đã dùng,"42,568 Km",Nhập khẩu,SUV,Số tay,Xăng  1.5 L,Trắng,-,FWD - Dẫn động cầu trước,7 chỗ,420 Triệu
Xe BMW X5 3.0si,2007,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Đen,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,300 Triệu
Xe Hyundai Tucson 2.0 ATH,2020,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,699 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Vàng,Đen,4WD - Dẫn động 4 bánh,5 chỗ,986 Triệu
Xe Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe,2018,Xe đã dùng,"23,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng  3.0 L,Đỏ,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 399 Triệu
Xe Kia Sorento DATH,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Đen,Kem,FWD - Dẫn động cầu trước,7 chỗ,615 Triệu
Xe Chevrolet Spark LT 0.8 MT,2009,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Số tay,Xăng  0.8 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,69 Triệu
Xe Ford Territory Titanium 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,-,FWD - Dẫn động cầu trước,5 chỗ,909 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Xám,Đen,4WD - Dẫn động 4 bánh,5 chỗ,979 Triệu
Xe Ford Ranger XLS 2.0L 4x2 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,707 Triệu
Xe Toyota Vios G 1.5 CVT,2022,Xe đã dùng,"10,972 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,518 Triệu
Xe Mercedes Benz C class C300 AMG,2019,Xe đã dùng,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 199 Triệu
Xe Toyota Vios 1.5E MT,2018,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.5 L,Cát,Vàng,FWD - Dẫn động cầu trước,5 chỗ,355 Triệu
Xe Toyota 4 Runner SR5,2011,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.0 L,Đen,Kem,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 190 Triệu
Xe Honda CRV L,2019,Xe đã dùng,"52,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đen,Đen,FWD - Dẫn động cầu trước,7 chỗ,800 Triệu
Xe Toyota Vios G 1.5 CVT,2022,Xe đã dùng,"28,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,515 Triệu
Xe Mercedes Benz GLC 300 4Matic,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 179 Triệu
Xe MG ZS Standard 1.5 AT 2WD,2023,Xe mới,Xe mới,Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Trắng,-,FWD - Dẫn động cầu trước,5 chỗ,475 Triệu
Xe Mercedes Benz GLK Class GLK300 4Matic,2010,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  3.0 L,Đen,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,355 Triệu
Xe MG 5 Luxury 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Xám,Đen,FWD - Dẫn động cầu trước,5 chỗ,495 Triệu
Xe Toyota Fortuner 2.7V 4x4 AT,2011,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,Bạc,Kem,4WD - Dẫn động 4 bánh,7 chỗ,365 Triệu
Xe Bentley Mulsanne Lemans Edition,2013,Xe đã dùng,"59,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  6.8 L,Đen,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,8 Tỷ 900 Triệu
Xe Toyota Sequoia Limited 5.7 AT 4WD,2008,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Xanh,Ghi,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 389 Triệu
Xe Hyundai Kona 1.6 Turbo,2021,Xe đã dùng,"21,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,560 Triệu
Xe Mazda CX5 Premium 2.0 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,829 Triệu
Xe Toyota Prado TXL 2.7L,2016,Xe đã dùng,"80,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đen,Đen,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 380 Triệu
Xe VinFast Lux SA 2.0 Premium 2.0 AT,2021,Xe đã dùng,"23,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,920 Triệu
Xe Mitsubishi Triton 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Cam,Ghi,RFD - Dẫn động cầu sau,5 chỗ,650 Triệu
Xe Toyota Veloz Cross 1.5 CVT,2022,Xe đã dùng,"30,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đen,Nhiều màu,FWD - Dẫn động cầu trước,7 chỗ,595 Triệu
Xe Mercedes Benz E class E300 AMG,2020,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đỏ,Đen,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 739 Triệu
Xe Toyota Yaris 1.3 AT,2007,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,Xanh,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,255 Triệu
Xe Toyota Camry 2.0Q,2022,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 90 Triệu
