Tên xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Dẫn động,Số chỗ ngồi,Giá xe
Xe Kia Morning Si AT,2014,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Trắng,Ghi,FWD - Dẫn động cầu trước,5 chỗ,235 Triệu
Xe Toyota Avalon XLE Hybrid,2013,Xe đã dùng,"70,000 Km",Nhập khẩu,Sedan,Số tự động,Hybrid  2.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 190 Triệu
Xe Hyundai SantaFe Cao cấp 2.5L HTRAC,2022,Xe đã dùng,"19,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Đen,Đỏ,AWD - 4 bánh toàn thời gian,7 chỗ,1 Tỷ 90 Triệu
Xe Toyota Vios G 1.5 CVT,2022,Xe đã dùng,"13,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,513 Triệu
Xe Hyundai SantaFe 2.4L 4WD,2015,Xe đã dùng,"130,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Vàng,Đen,4WD - Dẫn động 4 bánh,7 chỗ,560 Triệu
Xe Mercedes Benz Maybach S450 4Matic,2018,Xe đã dùng,"18,888 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 998 Triệu
Xe Toyota Corolla altis 1.8G MT,2004,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.8 L,Đen,Vàng,FWD - Dẫn động cầu trước,5 chỗ,145 Triệu
Xe BMW X7 xDrive40i M Sport,2019,Xe đã dùng,"20,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,3 Tỷ 750 Triệu
Xe Kia Sorento GATH,2016,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Bạc,Kem,FWD - Dẫn động cầu trước,7 chỗ,520 Triệu
Xe Hyundai Creta Cao cấp 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,690 Triệu
Xe BMW X7 xDrive40i M Sport,2019,Xe đã dùng,"20,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,3 Tỷ 750 Triệu
Xe Toyota Corolla altis 1.8G AT,2017,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,515 Triệu
Xe Toyota Corolla altis 1.8G AT,2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,465 Triệu
Xe Ford Everest Titanium 2.0L 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Nâu,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 229 Triệu
Xe Mazda CX5 2.0 AT,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,530 Triệu
Xe Ford Territory Trend 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,822 Triệu
Xe Mercedes Benz C class C300 AMG,2018,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 168 Triệu
Xe Hyundai Genesis 2.0 AT,2012,Xe đã dùng,"68,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng  2.0 L,Xanh,Đen,RFD - Dẫn động cầu sau,4 chỗ,455 Triệu
Xe Ford Everest Titanium 2.0L 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Đen,Kem,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 229 Triệu
Xe Lexus LS 500,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  3.4 L,Bạc,Màu khác,FWD - Dẫn động cầu trước,5 chỗ,7 Tỷ 650 Triệu
Xe Toyota Rush 1.5S AT,2021,Xe đã dùng,"10,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đỏ,Nâu,RFD - Dẫn động cầu sau,7 chỗ,560 Triệu
Xe Toyota Raize G 1.0 CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.0 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,552 Triệu
Xe Mercedes Benz E class E250,2011,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Nâu,Kem,RFD - Dẫn động cầu sau,5 chỗ,420 Triệu
Xe Ford EcoSport Titanium 1.5L AT,2020,Xe đã dùng,"44,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,460 Triệu
Xe Kia Seltos Deluxe 1.4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Cam,Đen,FWD - Dẫn động cầu trước,5 chỗ,599 Triệu
Xe Maserati Ghibli 3.0 V6,2018,Xe đã dùng,"13,998 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Xanh,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 990 Triệu
Xe Isuzu QKR 270,2020,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,Truck,Số tay,Dầu,Trắng,-,RFD - Dẫn động cầu sau,3 chỗ,399 Triệu
Xe Toyota Fortuner 2.5G,2015,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Bạc,Kem,RFD - Dẫn động cầu sau,7 chỗ,580 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đỏ,Đen,4WD - Dẫn động 4 bánh,5 chỗ,830 Triệu
Xe Honda City RS 1.5 AT,2022,Xe đã dùng,"23,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,525 Triệu
Xe Toyota Prado VX 2.7L,2018,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Trắng,Nhiều màu,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 830 Triệu
Xe Kia Cerato 1.6 AT,2009,Xe đã dùng,"120,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.6 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,268 Triệu
Xe Hyundai Elantra 2.0 AT,2021,Xe đã dùng,"13,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,-,FWD - Dẫn động cầu trước,5 chỗ,519 Triệu
Xe Hyundai SantaFe 2.4L 4WD,2018,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Trắng,Ghi,4WD - Dẫn động 4 bánh,7 chỗ,685 Triệu
Xe Honda Civic 1.8 MT,2007,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.8 L,Ghi,Vàng,FWD - Dẫn động cầu trước,5 chỗ,179 Triệu
Xe Ford Transit SVP,2019,Xe đã dùng,"100,500 Km",Lắp ráp trong nước,Van/Minivan,Số tay,Dầu  2.4 L,Trắng,Nhiều màu,RFD - Dẫn động cầu sau,16 chỗ,595 Triệu
Xe Lexus ES 250,2017,Xe đã dùng,"34,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 450 Triệu
Xe Nissan Navara VL Premium Z,2019,Xe đã dùng,"78,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,Trắng,Kem,4WD - Dẫn động 4 bánh,5 chỗ,515 Triệu
Xe Toyota Yaris Cross HEV 1.5 CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Hybrid  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,838 Triệu
Xe Hyundai Tucson 2.0 ATH,2016,Xe đã dùng,"60,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng  2.0 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,610 Triệu
Xe Lexus RX 200t,2016,Xe đã dùng,"58,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 850 Triệu
Xe Toyota Raize G 1.0 CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.0 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,535 Triệu
Xe Mazda 3 1.5L Luxury,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,619 Triệu
Xe Nissan Navara LE 2.5MT 4WD,2011,Xe đã dùng,0 Km,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.5 L,Bạc,-,4WD - Dẫn động 4 bánh,5 chỗ,245 Triệu
Xe Toyota Fortuner 2.7V 4x2 AT,2017,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Trắng,Nâu,RFD - Dẫn động cầu sau,7 chỗ,715 Triệu
Xe Toyota Vios 1.5E MT,2020,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.5 L,Cát,Cam,FWD - Dẫn động cầu trước,5 chỗ,400 Triệu
Xe Hyundai Accent 1.4 AT Đặc Biệt,2022,Xe đã dùng,"3,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đen,Ghi,FWD - Dẫn động cầu trước,5 chỗ,490 Triệu
Xe Mercedes Benz E class E200 Exclusive,2021,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 788 Triệu
Xe Kia Morning Si MT,2016,Xe đã dùng,"213,000 Km",Lắp ráp trong nước,Hatchback,Số tay,Xăng  1.25 L,Trắng,Xám,FWD - Dẫn động cầu trước,5 chỗ,196 Triệu
Xe Ford Everest Ambiente 2.0L 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Bạc,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 1 Triệu
Xe BMW X5 xDrive40i M Sport,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  3.0 L,Xanh,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 289 Triệu
Xe Mazda CX5 Premium 2.0 AT,2022,Xe đã dùng,"17,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,799 Triệu
Xe BMW X4 xDrive20i M Sport,2022,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 649 Triệu
Xe Kia Morning Luxury,2020,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,315 Triệu
Xe Toyota Camry 2.0G,2021,Xe đã dùng,"32,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,868 Triệu
Xe Mazda 2 Luxury,2019,Xe đã dùng,"80,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,398 Triệu
Xe MG ZS Luxury 1.5 AT 2WD,2023,Xe mới,Xe mới,Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,575 Triệu
Xe Kia Seltos GT-Line 1.4 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,719 Triệu
Xe Toyota Veloz Cross Top 1.5 CVT,2023,Xe đã dùng,"4,100 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đỏ,Màu khác,FWD - Dẫn động cầu trước,7 chỗ,660 Triệu
Xe Hyundai Tucson 2.0 AT Tiêu chuẩn,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Đỏ,-,FWD - Dẫn động cầu trước,5 chỗ,744 Triệu
Xe Ford Ranger XLS 2.2L 4x2 AT,2017,Xe đã dùng,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Xanh,Đen,RFD - Dẫn động cầu sau,5 chỗ,455 Triệu
Xe LandRover Range Rover HSE 3.0,2015,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 590 Triệu
Xe Ford F150 Raptor 3.5 V6,2020,Xe đã dùng,"26,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Xăng  3.5 L,Đen,Đen,4WD - Dẫn động 4 bánh,5 chỗ,3 Tỷ 899 Triệu
Xe Renault Megane 1.6 AT,2016,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.6 L,Nâu,Ghi,FWD - Dẫn động cầu trước,5 chỗ,580 Triệu
Xe Toyota Vios E 1.5 MT,2022,Xe đã dùng,"2,450 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.5 L,Cát,Đen,FWD - Dẫn động cầu trước,5 chỗ,440 Triệu
Xe Toyota Innova G,2009,Xe đã dùng,0 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,Nhiều màu,RFD - Dẫn động cầu sau,8 chỗ,209 Triệu
Xe Haima 7 2.0 AT,2012,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,FWD - Dẫn động cầu trước,5 chỗ,158 Triệu
Xe Hyundai i10 Grand 1.2 AT,2020,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,348 Triệu
Xe Daewoo Matiz SE 0.8 MT,2007,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Số tay,Xăng  0.8 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,42 Triệu
Xe Hyundai Stargazer Cao cấp 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Van/Minivan,Số tự động,Xăng  1.5 L,Xám,-,FWD - Dẫn động cầu trước,7 chỗ,560 Triệu
Xe MG 5 Standard 1.5 AT,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,475 Triệu
Xe Kia Sedona 2.2 DAT Luxury,2019,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Đen,Kem,FWD - Dẫn động cầu trước,7 chỗ,886 Triệu
Xe Daewoo Matiz SE 0.8 MT,2004,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Số tay,Xăng  0.8 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,42 Triệu
Xe Ford Ranger Raptor 2.0L 4x4 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đỏ,Đen,4WD - Dẫn động 4 bánh,5 chỗ,1 Tỷ 284 Triệu
Xe Ford Transit SVP,2019,Xe đã dùng,"125,000 Km",Lắp ráp trong nước,Van/Minivan,Số tay,Dầu  2.4 L,Bạc,Bạc,RFD - Dẫn động cầu sau,16 chỗ,595 Triệu
Xe Kia Seltos Premium 1.4 AT,2022,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Vàng,Trắng,FWD - Dẫn động cầu trước,5 chỗ,630 Triệu
Xe Mercedes Benz G class G63 AMG,2022,Xe đã dùng,"8,888 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.0 L,Đỏ,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,10 Tỷ 399 Triệu
Xe Toyota Vios 1.5G,2019,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Cát,Kem,FWD - Dẫn động cầu trước,5 chỗ,408 Triệu
Xe Toyota Vios G 1.5 CVT,2022,Xe đã dùng,"16,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,542 Triệu
Xe Toyota Fortuner 2.5G,2016,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Bạc,Kem,RFD - Dẫn động cầu sau,7 chỗ,620 Triệu
Xe Volkswagen Teramont 2.0 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,2 Tỷ 99 Triệu
Xe Ford Ranger XLS 2.0L 4x2 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,-,RFD - Dẫn động cầu sau,5 chỗ,602 Triệu
Xe Toyota Yaris Cross HEV 1.5 CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Hybrid  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,764 Triệu
Xe Toyota Corolla Cross 1.8V,2022,Xe đã dùng,"25,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,785 Triệu
Xe Peugeot 5008 AL 1.6 AT,2021,Xe đã dùng,"19,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.6 L,Đen,Đen,FWD - Dẫn động cầu trước,7 chỗ,850 Triệu
Xe Honda CRV L,2020,Xe đã dùng,"48,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,830 Triệu
Xe Kia Morning 1.0 AT,2012,Xe đã dùng,"51,719 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.0 L,Ghi,Đen,FWD - Dẫn động cầu trước,5 chỗ,240 Triệu
Xe Kia Carnival Luxury 2.2D,2022,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,Nâu,FWD - Dẫn động cầu trước,8 chỗ,1 Tỷ 50 Triệu
Xe Lamborghini Aventador LP 700-4,2016,Xe đã dùng,"10,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng  6.5 L,Xanh,Đen,AWD - 4 bánh toàn thời gian,2 chỗ,22 Tỷ
Xe VinFast Lux SA 2.0 Premium 2.0 AT,2019,Xe đã dùng,"74,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,755 Triệu
Xe Mercedes Benz GLC 250 4Matic,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đỏ,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,950 Triệu
Xe Toyota Rush 1.5S AT,2021,Xe đã dùng,"34,500 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đồng,Đen,RFD - Dẫn động cầu sau,7 chỗ,560 Triệu
Xe Lexus LX 600 Vip,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,4 chỗ,9 Tỷ 610 Triệu
Xe VinFast Lux A 2.0 2.0 AT,2021,Xe đã dùng,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,590 Triệu
Xe Mercedes Benz GLC 300 4Matic,2016,Xe đã dùng,"55,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Nâu,AWD - 4 bánh toàn thời gian,5 chỗ,960 Triệu
Xe Nissan Almera 1.0 MT,2021,Xe đã dùng,"20,000 Km",Nhập khẩu,Sedan,Số tay,Xăng  1.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,375 Triệu
Xe VinFast Lux A 2.0 Premium 2.0 AT,2020,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,665 Triệu
Xe Kia Seltos Luxury 1.4 AT,2021,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Đỏ,Kem,FWD - Dẫn động cầu trước,5 chỗ,595 Triệu
Xe Hyundai SantaFe Cao cấp 2.2L HTRAC,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Vàng,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,1 Tỷ 174 Triệu
Xe Ford Ranger XLS 2.2L 4x2 AT,2016,Xe đã dùng,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Xám,Đen,RFD - Dẫn động cầu sau,5 chỗ,418 Triệu
Xe Kia Sonet Deluxe 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.5 L,Cam,Đen,FWD - Dẫn động cầu trước,5 chỗ,519 Triệu
Xe Lexus ES 250,2017,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Xanh,Nâu,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 450 Triệu
Xe Mazda 3 1.5L Luxury,2023,Xe mới,Xe mới,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,619 Triệu
Xe Mazda 2 Luxury,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,489 Triệu
Xe Mitsubishi Pajero Sport 3.0G 4x2 AT,2017,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Ghi,Kem,RFD - Dẫn động cầu sau,7 chỗ,639 Triệu
Xe Kia Sorento GATH,2016,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Cát,Kem,FWD - Dẫn động cầu trước,7 chỗ,520 Triệu
Xe Hyundai SantaFe 2.4L 4WD,2018,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Đen,Kem,4WD - Dẫn động 4 bánh,7 chỗ,730 Triệu
Xe Mazda CX5 Premium 2.0 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,829 Triệu
Xe Mazda CX5 Premium 2.0 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,829 Triệu
Xe Volkswagen Teramont 2.0 AT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Đỏ,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,2 Tỷ 99 Triệu
Xe Kia Forte GDI 1.6 AT,2011,Xe đã dùng,"10,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.6 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,285 Triệu
Xe Hyundai Creta Đặc biệt 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.5 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,643 Triệu
Xe Hyundai i10 Grand 1.2 MT Base,2019,Xe đã dùng,"62,000 Km",Lắp ráp trong nước,Hatchback,Số tay,Xăng  1.25 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,5 chỗ,215 Triệu
Xe Nissan Navara EL 2.5 AT 2WD,2017,Xe đã dùng,"110,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,415 Triệu
Xe Mercedes Benz GLC 300 4Matic,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 799 Triệu
Xe Ford Everest Titanium Plus 2.0L 4x4 AT,2022,Xe đã dùng,"11,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Đen,Đen,4WD - Dẫn động 4 bánh,7 chỗ,1 Tỷ 380 Triệu
Xe Mazda BT50 3.2L 4x4 AT,2015,Xe đã dùng,"85,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  3.2 L,Cát,Đen,4WD - Dẫn động 4 bánh,5 chỗ,385 Triệu
Xe Toyota Fortuner Legender 2.4L 4x2 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,1 Tỷ 259 Triệu
Xe Kia Morning SLX 1.0 AT,2010,Xe đã dùng,"97,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.0 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,189 Triệu
Xe Mitsubishi Triton 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,585 Triệu
Xe Kia Sorento GATH,2016,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Trắng,Đen,FWD - Dẫn động cầu trước,7 chỗ,518 Triệu
Xe Kia Carnival Premium 2.2D,2022,Xe đã dùng,"7,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Đen,Kem,FWD - Dẫn động cầu trước,8 chỗ,1 Tỷ 170 Triệu
