company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Honda,Civic,2021,15000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,650.000.000 đ
Hyundai,Elantra,2021,44000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,542.000.000 đ
Mercedes Benz,E Class,2016,87000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.268.000.000 đ
Ford,Transit,2018,92000,Đã sử dụng,Số sàn,Dầu,,Minivan (MPV),,,,,565.000.000 đ
Kia,Morning,2015,64000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,259.000.000 đ
Mitsubishi,Triton,2022,28000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,595.000.000 đ
Ford,Ranger,2020,48000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,738.000.000 đ
Kia,Carnival,2021,19000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,1.099.000.000 đ
Kia,Sorento,2018,33000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,565.000.000 đ
BMW,Z4 Roadster,2016,50000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.291.000.000 đ
Ford,Everest,2011,86000,Đã sử dụng,Số sàn,Xăng,Mỹ,,,,,,295.000.000 đ
Toyota,Innova,2014,107000,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,357.000.000 đ
Hãng khác,Dòng khác,2006,66666,Đã sử dụng,Số sàn,Dầu,Nước khác,,,,,,110.000.000 đ
Daewoo,Matiz,2007,110000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,42.000.000 đ
Mazda,BT 50,2022,40000,Đã sử dụng,Tự động,Dầu,Nhật Bản,,,,,,519.000.000 đ
Chevrolet,Trailblazer,2018,52000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,525.000.000 đ
Chevrolet,Cruze,2017,76000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,315.000.000 đ
Mercedes Benz,GLC Class,2022,8000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,1.568.000.000 đ
BMW,5 Series,2007,170000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,330.000.000 đ
Mazda,3,2018,66000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,215.000.000 đ
Toyota,Hiace,trước năm 1980,123456,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,198.000.000 đ
Lexus,RX,2017,50500,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.995.000.000 đ
Kia,Morning,2018,25000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,298.000.000 đ
Audi,Q8,2021,12000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,3.666.000.000 đ
Hyundai,Grand i10,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,366.000.000 đ
Hyundai,Grand i10,2015,86000,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,,,,179.000.000 đ
Toyota,Land Cruiser Prado,2017,80000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,1.400.000.000 đ
Hyundai,Accent,2019,58000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,395.000.000 đ
Audi,A6,2021,27000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,1.791.000.000 đ
Toyota,Innova,2018,80,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,485.000.000 đ
Kia,Seltos,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,120.000.000 đ
Toyota,Innova,2009,11111,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,225.000.000 đ
Suzuki,XL 7,2022,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,569.000.000 đ
Toyota,Yaris,2015,60000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,365.000.000 đ
Hyundai,Grand Starex,2016,110000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,585.000.000 đ
Chevrolet,Trailblazer,2018,50000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,625.000.000 đ
Toyota,Veloz Cross,2022,17000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,619.000.000 đ
Ford,Everest,2014,80000,Đã sử dụng,Tự động,Dầu,,SUV / Cross over,,,,,480.000.000 đ
Nissan,Navara,2013,105120,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,399.000.000 đ
Mercedes Benz,R Class,2005,100,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,199.000.000 đ
Vinfast,VF8,2023,,Mới,Tự động,Điện,Việt Nam,SUV / Cross over,,,,,1.090.000.000 đ
Toyota,Vios,2022,22000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,510.000.000 đ
Mitsubishi,Triton,2023,,Mới,Tự động,Dầu,Nhật Bản,Pick-up (bán tải),,,,,905.000.000 đ
Mercedes Benz,GLC,2023,1500,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.638.000.000 đ
Mazda,CX 5,2023,2700,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,865.000.000 đ
Ford,Everest,2023,,Mới,Tự động,Xăng,Thái Lan,SUV / Cross over,,,,,1.299.000.000 đ
Mazda,CX 5,2020,33000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,700.000.000 đ
Honda,Civic,2021,18000,Đã sử dụng,5,Xăng,Thái Lan,,,,,,650.000.000 đ
Ford,Ranger,2023,,Mới,Tự động,Dầu,Việt Nam,Pick-up (bán tải),,,,,677.000.000 đ
Vinfast,Lux A2.0,2022,27000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,599.000.000 đ
Mercedes Benz,E Class,2020,44000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.199.000.000 đ
Daewoo,Matiz,2009,68000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,165.000.000 đ
